MALAYALAM,ENGLISH
മൈര്,myru
മൈരൻ,myran
മൈരുകൾ,myrukal
മൈരേ,myre
മൈർ,myr
മൈരന്മാർ,myrenmar
മൈരത്തി,myrathi
മൈരാ,myraa
പൂറ്,pooru
പൂറി,poori
തായോളി,thayoli
പുലയാടി,pulayadi
പെലയാടി,pelayadi
പൊലയാടി,polayadi
കൂതി,koothi
കൂത്തി,kootthi
കൂത്തിച്ചി,kootthichi
കുണ്ണ,kunna
അണ്ടി,andi
കുണ്ടി,kundi
അവരാതം,avaratham
പട്ടി,patti
തെണ്ടി,thendi
ചേറ്റ,chetta
നാറി,naari
നായ,naaya
നായി,naayi
നായിന്റെമോൻ,naayintemon
വെടിച്ചി,vedichi
വേശി,veshi
വേശ്യ,veshya
വാണം,vaanam
മുല,mula
മുലച്ചി,mulachi
പന്നി,panni
പന്നീന്റെമോൻ,panneentemon
പറി,pari
പൂറ്റിൽ,pootil
കന്ത്,kanth
ഊക്,ookku
പൂറൻ,pooran
ചന്തി,chanthi
മൂഞ്ചി,moonji
കൊതം,kotham
കണ്ടറോളി,kandaroli
കോപ്പ്,koppu
കോപ്പേ,koppe
തേവിടിച്ചി,thevidichi
തേവിടി,tevedi
പുണ്ടച്ചിമോൻ,pundachimon
ഊമ്പ്,oombu
ഊമ്പൽ,oombal
ഊമ്പിക്കോ,oombikko
ഊമ്പൻ,oomban
ഊമ്പി,oombikko
പന്ന,panna
പണ്ടാരം,pandaram
അലവലാതി,alavalathi
തള്ളയോളി,thallayoli
